Time	Iteration	AverageReturn	StdReturn	MaxReturn	MinReturn	EpLenMean	EpLenStd	TimestepsThisBatch	TimestepsSoFar
3.0731489658355713	0	7.2589927	3.6211572	20.0	3.0	7.258992805755396	3.6211571136412823	1009	1009
3.8871192932128906	1	7.8515625	4.046777	21.0	3.0	7.8515625	4.046776965511412	1005	2014
4.702121734619141	2	8.366667	4.6546273	28.0	3.0	8.366666666666667	4.654627327247108	1004	3018
5.528056383132935	3	9.154546	5.027536	29.0	3.0	9.154545454545454	5.027535748503371	1007	4025
6.350583553314209	4	11.01087	7.2927814	42.0	3.0	11.01086956521739	7.29278166828321	1013	5038
7.172298431396484	5	11.905882	7.5281806	38.0	4.0	11.905882352941177	7.5281800463118955	1012	6050
7.991230249404907	6	14.471429	8.591891	41.0	4.0	14.471428571428572	8.591892238901623	1013	7063
8.80416226387024	7	16.683332	11.910068	57.0	3.0	16.683333333333334	11.91006810317314	1001	8064
9.621188879013062	8	14.521739	9.083523	54.0	3.0	14.521739130434783	9.083523378922154	1002	9066
10.433646440505981	9	16.161291	9.971239	50.0	4.0	16.161290322580644	9.971238555719527	1002	10068
11.249519348144531	10	17.465517	10.9500675	50.0	3.0	17.46551724137931	10.950067732811108	1013	11081
12.065608024597168	11	15.75	8.867074	48.0	4.0	15.75	8.8670739254841	1008	12089
12.876208305358887	12	16.193548	7.928793	38.0	4.0	16.193548387096776	7.928793403053446	1004	13093
13.685904502868652	13	20.14	12.186895	57.0	3.0	20.14	12.18689460034836	1007	14100
14.498530387878418	14	20.530613	11.270518	47.0	7.0	20.53061224489796	11.27051787162169	1006	15106
15.306538820266724	15	18.555555	10.421962	47.0	3.0	18.555555555555557	10.421961617210902	1002	16108
16.134122848510742	16	16.639345	8.266132	40.0	4.0	16.639344262295083	8.26613233817988	1015	17123
16.955543518066406	17	19.764706	11.716568	61.0	5.0	19.764705882352942	11.716568184051765	1008	18131
17.771617889404297	18	18.218182	10.163555	46.0	6.0	18.21818181818182	10.163555049276283	1002	19133
18.59303903579712	19	21.041666	12.488258	49.0	4.0	21.041666666666668	12.488258374257885	1010	20143
19.438048362731934	20	23.727272	16.348984	82.0	4.0	23.727272727272727	16.348983338371443	1044	21187
20.253774404525757	21	20.895834	11.414975	50.0	4.0	20.895833333333332	11.414974783395518	1003	22190
21.083942890167236	22	21.3125	12.010683	64.0	4.0	21.3125	12.010683178598404	1023	23213
21.921862363815308	23	24.761906	13.93319	61.0	4.0	24.761904761904763	13.933190117416492	1040	24253
22.737363576889038	24	22.266666	13.666504	59.0	6.0	22.266666666666666	13.666504064073347	1002	25255
23.595287799835205	25	21.632652	11.059567	61.0	7.0	21.632653061224488	11.059567614441761	1060	26315
24.440064668655396	26	22.0	15.402404	75.0	3.0	22.0	15.402403791395404	1034	27349
25.26592230796814	27	26.552631	16.189173	100.0	5.0	26.55263157894737	16.189173393970904	1009	28358
26.0994975566864	28	22.26087	13.737342	65.0	6.0	22.26086956521739	13.737341655706006	1024	29382
26.925984144210815	29	28.11111	19.098833	95.0	9.0	28.11111111111111	19.09883326537947	1012	30394
27.757776021957397	30	25.5	12.684636	68.0	4.0	25.5	12.684636376341263	1020	31414
28.583959579467773	31	25.325	13.963143	69.0	5.0	25.325	13.963143449811005	1013	32427
29.403093576431274	32	27.944445	19.069965	83.0	4.0	27.944444444444443	19.069965397108447	1006	33433
30.22353506088257	33	30.454546	15.969841	72.0	8.0	30.454545454545453	15.969840721565644	1005	34438
31.061323165893555	34	30.352942	17.420208	67.0	5.0	30.352941176470587	17.420208604378686	1032	35470
31.879282236099243	35	33.8	18.547956	83.0	7.0	33.8	18.547955862214756	1014	36484
32.68478465080261	36	32.419353	18.747517	91.0	10.0	32.41935483870968	18.74751457685987	1005	37489
33.487279176712036	37	38.53846	24.84294	104.0	7.0	38.53846153846154	24.842938586913103	1002	38491
34.291881799697876	38	34.517242	20.090523	82.0	5.0	34.51724137931034	20.090520478067937	1001	39492
35.13808727264404	39	48.454544	28.336819	114.0	9.0	48.45454545454545	28.336817157393845	1066	40558
35.95543146133423	40	40.88	26.605743	121.0	8.0	40.88	26.605743740778983	1022	41580
36.764148235321045	41	44.0	22.949852	107.0	9.0	44.0	22.949850809404253	1012	42592
37.57129096984863	42	48.142857	26.376913	105.0	15.0	48.142857142857146	26.376912188477245	1011	43603
38.36976742744446	43	66.86667	35.381477	140.0	18.0	66.86666666666666	35.38147663522382	1003	44606
39.172882080078125	44	43.782608	26.913645	120.0	13.0	43.78260869565217	26.913640507531127	1007	45613
39.98147511482239	45	44.0	26.426271	94.0	9.0	44.0	26.426271513154415	1012	46625
40.78249526023865	46	45.590908	36.51856	170.0	5.0	45.59090909090909	36.518562018524584	1003	47628
41.61699914932251	47	48.227272	24.045282	109.0	15.0	48.22727272727273	24.045282694006968	1061	48689
42.43926215171814	48	54.473682	30.721788	122.0	12.0	54.473684210526315	30.721787950046874	1035	49724
43.25142765045166	49	53.94737	27.288853	110.0	12.0	53.94736842105263	27.28885194439688	1025	50749
44.055790185928345	50	56.166668	28.990896	111.0	20.0	56.166666666666664	28.990898955055226	1011	51760
44.867796659469604	51	64.125	25.245977	106.0	13.0	64.125	25.245977402350658	1026	52786
45.6635627746582	52	71.71429	45.63274	215.0	23.0	71.71428571428571	45.632739768454734	1004	53790
46.46629333496094	53	67.4	41.986984	170.0	14.0	67.4	41.98698210953803	1011	54801
47.26163911819458	54	62.8125	34.54023	151.0	22.0	62.8125	34.54022790529906	1005	55806
