Time	Iteration	AverageReturn	StdReturn	MaxReturn	MinReturn	EpLenMean	EpLenStd	TimestepsThisBatch	TimestepsSoFar
3.367279529571533	0	-10.501316	3.6994987	-3.1497862	-18.591442	17.1864406779661	3.920716711854669	1014	1014
4.353651762008667	1	-7.1387744	3.3295572	-0.61817414	-14.57442	19.423076923076923	5.952847262658801	1010	2024
5.369581699371338	2	-3.7907836	2.5567667	1.5776283	-12.814894	16.733333333333334	8.613684203379849	1004	3028
6.424905061721802	3	-1.3498582	2.437804	7.5594864	-6.721258	11.952380952380953	4.4210124942057	1004	4032
7.45850944519043	4	0.706019	2.56271	7.2932615	-3.2960033	11.858823529411765	3.672322365628245	1008	5040
8.458709001541138	5	2.808726	4.9819627	23.062618	-3.5289683	14.985074626865671	9.30172915607299	1004	6044
9.522354364395142	6	17.482468	18.100191	67.75289	-0.9346554	38.142857142857146	26.210295531274244	1068	7112
10.594584941864014	7	103.719086	106.96501	293.68634	-18.972645	122.44444444444444	55.575996239605914	1102	8214
11.703158855438232	8	142.3032	151.81606	411.24356	5.644554	190.83333333333334	82.82193080472238	1145	9359
12.815512657165527	9	140.95708	120.66654	311.5086	36.532513	224.8	112.08996386831427	1124	10483
13.892572402954102	10	197.82744	145.4751	407.5309	46.613968	184.33333333333334	67.98202376772521	1106	11589
14.917768239974976	11	218.78418	122.92072	354.66943	40.37659	206.2	39.204081420178696	1031	12620
16.074002265930176	12	144.2583	131.8962	361.29242	27.18223	191.16666666666666	46.87364812865422	1147	13767
17.148330688476562	13	122.743	98.57309	280.28827	19.807549	218.2	51.747077212147936	1091	14858
18.19514012336731	14	135.45619	118.08927	327.76315	11.46643	149.28571428571428	40.72806784275534	1045	15903
19.351775407791138	15	207.16167	111.19288	315.20114	39.623367	161.42857142857142	30.69600785051997	1130	17033
20.370007276535034	16	127.63074	101.6708	314.4831	29.206764	168.16666666666666	35.535975511522906	1009	18042
21.555985689163208	17	369.72186	71.1131	500.76123	291.25723	245.2	60.861810686176604	1226	19268
22.611703395843506	18	213.69283	124.388336	334.95715	24.371859	171.83333333333334	37.662610401062516	1031	20299
23.93067741394043	19	288.11423	99.47141	481.57333	157.50046	224.66666666666666	88.32075382125967	1348	21647
25.090928316116333	20	190.79765	125.40295	372.0686	56.364365	194.0	41.295681775862874	1164	22811
26.160128831863403	21	314.63474	69.51051	429.1371	215.57011	206.2	58.08063360535937	1031	23842
27.20431661605835	22	139.53282	201.14334	540.62146	13.152746	206.0	121.49074038789952	1030	24872
28.414840698242188	23	305.0711	116.70995	380.93054	74.52553	240.8	27.483813418083017	1204	26076
29.500097036361694	24	288.93	130.0648	404.05716	36.64827	216.4	42.16443999390956	1082	27158
30.51534652709961	25	177.15825	124.38564	323.70386	41.882374	171.83333333333334	23.22654133146436	1031	28189
31.66763162612915	26	212.88432	121.823235	330.34003	41.881485	193.16666666666666	29.773683383522137	1159	29348
32.86205458641052	27	222.66287	182.81589	546.19116	48.40422	246.0	95.51125588117874	1230	30578
33.91350841522217	28	261.23865	177.14226	472.83594	34.14549	263.25	79.09606500958186	1053	31631
35.03855013847351	29	226.14967	129.47803	372.3905	33.57952	191.66666666666666	28.761471141480612	1150	32781
36.098533391952515	30	180.48915	153.97209	453.5232	41.04963	180.0	66.74828337368186	1080	33861
37.19615721702576	31	246.9266	137.44176	409.6814	83.72042	223.2	36.60273213846201	1116	34977
38.24910831451416	32	180.59702	166.38359	417.75705	23.440416	202.8	68.04527904270802	1014	35991
39.458513021469116	33	156.04361	145.04492	392.16623	14.920486	196.5	61.55959172487528	1179	37170
40.543498277664185	34	101.40005	83.27556	285.09845	35.519203	178.33333333333334	22.705848487901868	1070	38240
41.59300756454468	35	177.27861	119.07193	327.3993	34.863434	174.0	29.160475533388226	1044	39284
42.72878623008728	36	201.56241	100.81247	287.4806	71.251595	228.8	99.01595830975934	1144	40428
43.802279233932495	37	189.45598	129.33353	404.0861	71.85191	211.6	46.69304016660299	1058	41486
44.86450433731079	38	277.67563	124.41189	399.653	45.10817	209.6	44.7150981213281	1048	42534
45.9105429649353	39	226.736	154.71733	400.39886	38.447655	208.6	58.246373277655664	1043	43577
46.98077440261841	40	141.0919	113.06234	302.19427	9.994862	174.5	54.31006659297458	1047	44624
48.07050275802612	41	327.321	164.32823	457.19882	45.981766	266.75	71.2894627557257	1067	45691
49.12250375747681	42	178.90138	139.35928	371.70102	54.838	209.0	21.335416564951338	1045	46736
50.23318004608154	43	224.12733	128.6862	331.19702	32.22915	183.33333333333334	28.370563774604285	1100	47836
51.312002182006836	44	227.88431	143.35335	366.80527	52.0254	201.0	39.390354149207646	1005	48841
52.455668926239014	45	229.33333	119.9113	415.16095	54.07165	191.16666666666666	50.141189544015496	1147	49988
53.60896587371826	46	291.1338	87.55571	378.57977	133.21536	225.8	48.6555238385119	1129	51117
54.81563997268677	47	156.63795	94.55375	325.20068	59.51541	195.66666666666666	31.00358402220979	1174	52291
56.01608395576477	48	200.79668	120.31575	332.74197	45.420082	201.0	43.05035810923451	1206	53497
57.077542781829834	49	312.3994	173.93541	545.69385	58.1913	264.75	99.69798142389845	1059	54556
58.146923780441284	50	138.49911	114.89207	353.18115	35.40634	214.4	37.74970198557864	1072	55628
59.26859998703003	51	114.72344	134.00943	413.39447	35.281525	186.0	44.9221548904324	1116	56744
60.34345746040344	52	181.68071	123.374176	331.80078	36.383366	182.83333333333334	29.85753208525819	1097	57841
61.366920948028564	53	182.45828	123.93085	344.5471	52.31283	205.4	37.46251459792842	1027	58868
