Time	Iteration	AverageReturn	StdReturn	MaxReturn	MinReturn	EpLenMean	EpLenStd	TimestepsThisBatch	TimestepsSoFar
3.096688985824585	0	-10.50131618491359	3.699498599146027	-3.1497860111537506	-18.59144294175627	17.1864406779661	3.920716711854669	1014	1014
3.934825897216797	1	-5.67911067712406	2.7675831152473656	0.2902209395349542	-13.04601554869771	15.476923076923077	3.742100160266619	1006	2020
4.795972108840942	2	-1.4737099912358556	4.5412036933734	21.027173083813853	-6.121949313338904	15.8	5.844655678480984	1027	3047
5.653790235519409	3	7.681778764727052	9.27999705778072	37.5064703828848	-6.051108819163192	23.58139534883721	11.644406898012882	1014	4061
6.497966051101685	4	29.42336410376274	49.08930060340103	252.44233334987032	-1.641815831276761	38.73076923076923	31.930884124100697	1007	5068
7.422773599624634	5	106.52706308232354	129.6991652046579	379.1289938638196	-0.7830731191679977	99.36363636363636	77.12831425296505	1093	6161
8.353466749191284	6	303.45258769135137	122.86899854359804	494.6744774061215	153.7618767934467	276.5	56.50442460551209	1106	7267
9.262021541595459	7	249.41974908506563	105.51708530987146	377.21167047909466	48.17587886745286	174.83333333333334	33.87435936253588	1049	8316
10.263384342193604	8	192.74662354072072	135.01707515927612	406.6367064511517	32.689444444552194	146.57142857142858	48.30515246950413	1026	9342
11.239791870117188	9	117.2994954772746	102.31464078614363	286.58335499712024	15.611048285714286	181.33333333333334	63.22886120189805	1088	10430
12.173649311065674	10	192.66815542612616	163.72910745509887	417.2624283736279	1.559869166217216	168.0	90.9706912509005	1008	11438
13.264400959014893	11	317.80830346857334	138.88010625535813	445.9516475754373	50.585472275804975	241.2	62.643116142158824	1206	12644
14.265889644622803	12	219.9016956537116	90.43952063454832	314.3670458197183	49.594086975286494	181.16666666666666	46.21477637677754	1087	13731
15.449257850646973	13	288.957961495917	165.1145937166033	533.0489775337667	91.23142032286093	266.0	82.33832643429183	1330	15061
16.430283069610596	14	239.55766909457495	133.55395224136817	367.5534985806263	17.058468328185942	186.5	72.10120202419189	1119	16180
17.45590615272522	15	258.9892834212138	192.32804118848173	562.0613869273342	50.19602478051103	231.6	116.35909934336892	1158	17338
18.386275053024292	16	219.4336599565676	128.86462530468216	342.8008728923084	37.70506268696589	177.5	31.07919990390143	1065	18403
19.31311821937561	17	237.3438877241329	120.5196370179165	392.9759731814057	82.77772478545721	215.2	42.56477416831905	1076	19479
20.21958589553833	18	367.07882825109476	30.870446283799854	410.2057298056264	324.30500023345917	264.25	36.567574434189645	1057	20536
21.31520390510559	19	354.0499977328466	188.83347849926474	625.3461681678209	92.13671173599931	303.25	141.7874730009672	1213	21749
22.33111834526062	20	255.94618846192327	95.15518897699957	355.25582570806	54.656947677267574	181.83333333333334	29.054068370692754	1091	22840
23.231884002685547	21	272.8793708326086	48.067992614645135	320.6680728475053	182.6423942105904	203.2	54.550527036867386	1016	23856
24.260645866394043	22	194.53259923202856	115.80522940174792	332.38981666200664	41.53836474064959	197.0	38.58756276314948	1182	25038
25.26662588119507	23	309.65597908946137	132.92260582903657	420.0867374681188	52.24417354888235	229.8	53.923649728110945	1149	26187
26.151174306869507	24	227.66762407930588	91.93287434973809	346.8330425085106	81.34012719731193	205.4	48.28084506302681	1027	27214
27.177968502044678	25	361.50941458830465	62.35765109187115	440.64707454737135	265.2593264702994	240.2	57.02771256152574	1201	28415
28.206480503082275	26	146.57791594954602	92.28868349155822	302.4265583436796	49.36351172489214	202.33333333333334	74.4304298582837	1214	29629
29.31996250152588	27	382.8099995648325	69.65027594854233	503.67957505877416	301.1579317634379	262.4	68.82615781808542	1312	30941
30.306973695755005	28	264.877724794094	131.4206284784877	388.8123926984846	54.56982653184227	277.25	165.80466670151355	1109	32050
31.289050102233887	29	194.1856222595084	111.0861026490493	283.63035752624444	12.40501944116452	159.85714285714286	14.416543784620416	1119	33169
32.329678773880005	30	182.74739078398053	118.87794354260977	332.693417786365	23.99877861434726	194.33333333333334	39.177658032211276	1166	34335
33.32847237586975	31	186.08483626773932	117.43081384319179	324.1761041884532	33.79739099805469	187.16666666666666	22.356331442245967	1123	35458
34.27938222885132	32	270.05080961815463	117.08173025948908	371.2470633864146	56.21088292066981	206.6	42.433948673202686	1033	36491
35.351513385772705	33	264.3268969473485	103.97777880141243	369.70752161305813	46.91519277270562	197.83333333333334	42.19169217854255	1187	37678
36.33804774284363	34	251.7428187662896	86.90416472117374	352.06777066984097	72.44339847121815	177.5	29.55080371157441	1065	38743
37.26323962211609	35	260.6871986260668	107.59738234755386	363.5716917075708	53.840378335182365	200.4	31.953716528754523	1002	39745
38.26487970352173	36	334.4010849237273	58.98178496935735	375.5083061434906	220.07551123228103	224.0	47.51420840127719	1120	40865
39.214489459991455	37	246.62771300816385	110.04374966383239	413.746113076416	56.49270002397243	174.66666666666666	50.549205950461996	1048	41913
40.192586183547974	38	271.64258633559734	86.83654380706018	365.52851522612	146.90902906112498	220.0	49.34369260604642	1100	43013
41.13304805755615	39	229.92185054861346	158.24940122250553	468.77330651794307	27.85721681024211	214.8	93.21244552097107	1074	44087
41.99696111679077	40	346.72033647643593	21.662339781911996	376.6765284486137	326.187479547243	337.0	150.14881506913954	1011	45098
43.20040225982666	41	325.9264289669751	100.53498125869861	471.3247072764434	156.03845460376274	269.0	81.53281547941295	1345	46443
44.239198446273804	42	102.42106217262808	53.973395752159576	196.02729012731592	48.66164082357885	235.0	59.413803110051795	1175	47618
45.095481157302856	43	252.8291998542377	98.98712678094395	367.15240780171297	84.47338993816471	202.0	47.34976240700686	1010	48628
46.09086775779724	44	322.25585832002054	37.625515425350116	359.683071585902	253.08730913517957	198.83333333333334	23.80767849992005	1193	49821
47.07465052604675	45	247.07571540784582	76.3110579435666	315.15331608643334	70.20721993275674	168.28571428571428	30.09847782441728	1178	50999
48.05476117134094	46	222.7780433504885	89.02195453666687	322.43583010409594	58.75178420019027	195.16666666666666	65.32078961215606	1171	52170
49.327205181121826	47	286.9033760509332	192.83595405860203	635.118373422293	65.07863881842074	252.66666666666666	124.97688675199997	1516	53686
